1754	96|
1795	282|
1845	271|
1915	64|
1900	453|
1934	34|27|
1940	184|
1928	448|
1938	548|605|546|531|537|576|
1946	282|
1952	318|321|284|282|
1977	548|618|N|546|606|617|229|531|537|330|
1976	32|
1988	550|568|200|204|554|
1990	99|522|669|550|566|568|564|200|204|554|523|
1966	321|
1982	321|
2012	334|
2041	390|
1983	168|
2034	200|
2096	676|
2104	320|
2018	N|N|67|N|N|N|
2085	14|
1954	318|N|
2124	246|
2105	453|402|527|525|
2139	247|
2153	N|N|N|96|
2147	138|
2154	664|59|
2142	20|
2157	321|320|456|
2170	N|N|N|99|N|N|N|97|N|N|95|96|
2443	497|
